[1667200816.7637851] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->monitor: gps_error_repeat
[1667200816.7697206] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200816.783631] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200816.7988865] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200816.812607] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200836.2881567] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200836.3152008] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200836.3235877] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200836.3363779] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200836.3668113] id 8e4f23fb-3677-45db-8144-467a8335fd6f, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200836.382478] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->communication_out: operation_status
[1667200845.4281063] id 144952dd-12c9-4791-a364-6e39b9487382, communication_in->central: ordering
[1667200845.5014815] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->communication_out: confirmation
[1667200845.5075712] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200845.5271482] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200845.5417583] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200845.556966] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200849.2138069] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200849.232473] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200849.2392316] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200849.2531648] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200849.2660923] id 144952dd-12c9-4791-a364-6e39b9487382, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200849.2799487] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200849.2950501] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200849.3088577] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200849.3315768] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200850.449694] id 14600b0e-9990-4e65-931d-cb2eea3477d7, communication_in->central: ordering
[1667200850.4664993] id 14600b0e-9990-4e65-931d-cb2eea3477d7, monitor->monitor: reordering
[1667200850.4719944] id 14600b0e-9990-4e65-931d-cb2eea3477d7, monitor->monitor: policy_error
[1667200853.0983405] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200853.1132085] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200853.1191115] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200853.1327045] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200853.1476896] id 144952dd-12c9-4791-a364-6e39b9487382, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps_error
[1667200853.160835] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200853.174339] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200853.1878433] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200853.2038355] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200857.9439921] id 144952dd-12c9-4791-a364-6e39b9487382, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200857.9570782] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200857.963829] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200857.9764283] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200857.9920638] id 144952dd-12c9-4791-a364-6e39b9487382, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200858.0045068] id 144952dd-12c9-4791-a364-6e39b9487382, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200858.019052] id 144952dd-12c9-4791-a364-6e39b9487382, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
